주소,병원분류명,병원경도,병원위도,행정구역,geometry
서울특별시 송파구 가락로 120 (석촌동 중동빌딩 4층),의원,127.10921742187816,37.50154317319288,송파구,POINT (965459.3398588323 1944769.2355171472)
서울특별시 송파구 송파대로 378 2층 (송파동 세호빌딩),의원,127.11094211488044,37.50157129922889,송파구,POINT (965611.7962858609 1944771.7243293195)
서울특별시 송파구 올림픽로 145 리센츠 제C동 3층 04호 (잠실동),의원,127.087041904838,37.5119804600106,송파구,POINT (963504.3535274552 1945935.5544637023)
서울특별시 송파구 석촌호수로 80 송천빌딩 (잠실동),의원,127.08632500777108,37.509114351011846,송파구,POINT (963439.5986914582 1945617.8563348795)
서울특별시 송파구 백제고분로 162 2층 (잠실동),의원,127.08460277777776,37.50505277777778,송파구,POINT (963285.398994638 1945167.921581617)
서울특별시 송파구 위례성대로 102 (방이동 2층),의원,127.12301814744204,37.51333456836984,송파구,POINT (966684.409792123 1946072.437523221)
서울특별시 송파구 올림픽로 300 롯데월드타워앤드롯데월드몰 월드타워동 11층 (신천동),의원,127.10444609981752,37.51375250260386,송파구,POINT (965043.3022853123 1946125.5427862878)
서울특별시 송파구 백제고분로50길 31 (방이동 2층),의원,127.11812064421407,37.51342696485618,송파구,POINT (966251.635238871 1946084.4337300472)
서울특별시 송파구 가락로 277 (방이동),의원,127.1195241737052,37.51262817093243,송파구,POINT (966375.3134505315 1945995.3102104452)
서울특별시 송파구 백제고분로48길 27 302호 (방이동 성우빌딩),의원,127.1160830483,37.5109341116,송파구,POINT (966070.4347269577 1945808.600624305)
서울특별시 송파구 백제고분로 466 5층 (방이동),의원,127.11352278426044,37.51196914423056,송파구,POINT (965844.6361209785 1945924.3570795432)
서울특별시 송파구 송파대로36가길 22 (송파동 지하12345층),의원,127.11579933361448,37.49956664352578,송파구,POINT (966040.2118726992 1944547.5574952557)
서울특별시 송파구 양재대로 932 (가락동 가락동 농수산물도매시장),의원,127.11558895063146,37.49507987259585,송파구,POINT (966019.5828984092 1944049.8565018515)
서울특별시 송파구 석촌호수로 70 (잠실동),의원,127.08572971562845,37.51006870787386,송파구,POINT (963387.4529602921 1945723.967562491)
서울특별시 송파구 토성로 65 202-4호 (풍납동 태양상가),의원,127.11734631350116,37.52890966701606,송파구,POINT (966190.1910226034 1947802.4197979334)
서울특별시 송파구 올림픽로35길 112 1동 306호 (신천동 장미아파트비상가),의원,127.10151563849466,37.51771126510068,송파구,POINT (964786.1846837772 1946565.8351024531)
서울특별시 송파구 올림픽로35길 137 한국광고문화회관 12층 2호 (신천동),의원,127.099643159822,37.5159272595028,송파구,POINT (964619.8719513644 1946368.6135005478)
서울특별시 송파구 송파대로 558 3층 306호 (신천동 월드타워빌딩),의원,127.0997108238,37.5150936842,송파구,POINT (964625.4580780892 1946276.1081786472)
서울특별시 송파구 오금로11길 55 2층 (방이동 현대주상복합빌딩),의원,127.11329848098968,37.51549228977719,송파구,POINT (965826.4194654695 1946315.3088352715)
